"Time","t2shut::nimrod:status"
"11/08/2022, 08:42:37 AM",3
"11/08/2022, 08:42:58 AM",2
"11/08/2022, 09:13:34 AM",3
"11/08/2022, 09:14:08 AM",1
"11/08/2022, 01:29:42 PM",3
"11/08/2022, 01:30:04 PM",2
"11/08/2022, 01:49:06 PM",3
"11/08/2022, 01:49:39 PM",1
"11/08/2022, 04:43:54 PM",3
"11/08/2022, 04:44:13 PM",2
"11/08/2022, 04:54:17 PM",3
"11/08/2022, 04:54:50 PM",1
"11/08/2022, 07:36:23 PM",3
"11/08/2022, 07:36:44 PM",2
"11/08/2022, 08:42:38 PM",3
"11/08/2022, 08:43:12 PM",1
"11/09/2022, 09:06:37 AM",3
"11/09/2022, 09:06:57 AM",2
"11/09/2022, 10:18:23 AM",3
"11/09/2022, 10:18:58 AM",1
"11/09/2022, 12:58:46 PM",3
"11/09/2022, 12:59:08 PM",2
"11/09/2022, 02:39:11 PM",3
"11/09/2022, 02:39:45 PM",1
"11/10/2022, 08:21:22 AM",3
"11/10/2022, 08:21:43 AM",2
"11/10/2022, 08:29:15 AM",3
"11/10/2022, 08:29:49 AM",1
"11/10/2022, 11:08:40 AM",3
"11/10/2022, 11:08:59 AM",2
"11/10/2022, 11:21:14 AM",3
"11/10/2022, 11:21:47 AM",1
"11/10/2022, 04:03:39 PM",3
"11/10/2022, 04:04:00 PM",2
"11/10/2022, 06:17:53 PM",3
"11/10/2022, 06:18:26 PM",1
"11/11/2022, 10:10:41 AM",3
"11/11/2022, 10:11:02 AM",2
"11/11/2022, 10:12:55 AM",3
"11/11/2022, 10:13:29 AM",1
"11/11/2022, 02:34:00 PM",3
"11/11/2022, 02:34:18 PM",2
"11/11/2022, 03:08:19 PM",4
"11/11/2022, 03:08:22 PM",3
"11/11/2022, 03:08:56 PM",1
"11/11/2022, 04:24:35 PM",3
"11/11/2022, 04:24:53 PM",2
"11/11/2022, 04:39:29 PM",3
"11/11/2022, 04:40:04 PM",1
"11/11/2022, 05:11:33 PM",3
"11/11/2022, 05:11:55 PM",2
"11/11/2022, 05:26:26 PM",3
"11/11/2022, 05:27:00 PM",1
"11/12/2022, 07:40:38 AM",4
"11/12/2022, 07:40:40 AM",3
"11/12/2022, 07:40:59 AM",2
"11/12/2022, 07:56:18 AM",3
"11/12/2022, 07:56:52 AM",1
"11/12/2022, 08:41:04 AM",3
"11/12/2022, 08:41:26 AM",2
"11/12/2022, 08:51:30 AM",3
"11/12/2022, 08:52:07 AM",1
"11/12/2022, 02:10:54 PM",3
"11/12/2022, 02:11:13 PM",2
"11/12/2022, 02:51:22 PM",3
"11/12/2022, 02:51:57 PM",1
"11/12/2022, 08:00:31 PM",3
"11/12/2022, 08:00:50 PM",2
"11/12/2022, 08:25:31 PM",3
"11/12/2022, 08:26:06 PM",1
"11/13/2022, 08:11:55 AM",3
"11/13/2022, 08:12:20 AM",2
"11/13/2022, 09:08:57 AM",3
"11/13/2022, 09:09:31 AM",1
"11/14/2022, 10:00:58 AM",3
"11/14/2022, 10:01:17 AM",2
"11/14/2022, 10:23:03 AM",3
"11/14/2022, 10:23:35 AM",1
"11/14/2022, 03:25:46 PM",3
"11/14/2022, 03:26:05 PM",2
"11/14/2022, 04:01:56 PM",3
"11/14/2022, 04:02:31 PM",1
"11/15/2022, 11:06:35 AM",3
"11/15/2022, 11:06:55 AM",2
"11/15/2022, 11:39:51 AM",3
"11/15/2022, 11:40:24 AM",1
"11/15/2022, 05:37:49 PM",3
"11/15/2022, 05:38:10 PM",2
"11/15/2022, 05:53:40 PM",3
"11/15/2022, 05:54:17 PM",1
"11/16/2022, 09:21:12 AM",4
"11/16/2022, 09:21:14 AM",3
"11/16/2022, 09:21:32 AM",2
"11/16/2022, 09:39:15 AM",3
"11/16/2022, 09:39:49 AM",1
"11/16/2022, 12:17:13 PM",3
"11/16/2022, 12:17:34 PM",2
"11/16/2022, 12:30:59 PM",3
"11/16/2022, 12:31:33 PM",1
"11/16/2022, 03:13:32 PM",3
"11/16/2022, 03:13:51 PM",2
"11/16/2022, 03:40:31 PM",3
"11/16/2022, 03:41:05 PM",1
"11/16/2022, 04:01:47 PM",3
"11/16/2022, 04:02:09 PM",2
"11/16/2022, 04:05:29 PM",3
"11/16/2022, 04:06:01 PM",1
"11/16/2022, 06:25:54 PM",3
"11/16/2022, 06:26:15 PM",2
"11/16/2022, 07:01:05 PM",3
"11/16/2022, 07:01:39 PM",1
"11/17/2022, 03:25:19 PM",3
"11/17/2022, 03:25:39 PM",2
"11/17/2022, 03:40:04 PM",3
"11/17/2022, 03:40:40 PM",1
"11/17/2022, 06:17:31 PM",3
"11/17/2022, 06:17:51 PM",2
"11/17/2022, 06:32:05 PM",3
"11/17/2022, 06:32:40 PM",1
"11/18/2022, 10:10:24 AM",3
"11/18/2022, 10:10:45 AM",2
"11/18/2022, 10:24:59 AM",3
"11/18/2022, 10:25:33 AM",1
"11/18/2022, 11:17:10 AM",3
"11/18/2022, 11:17:29 AM",2
"11/18/2022, 11:29:31 AM",3
"11/18/2022, 11:30:06 AM",1
"11/18/2022, 05:32:54 PM",3
"11/18/2022, 05:33:15 PM",2
"11/18/2022, 05:45:26 PM",3
"11/18/2022, 05:46:01 PM",1
"11/18/2022, 08:19:15 PM",3
"11/18/2022, 08:19:36 PM",2
"11/18/2022, 08:31:42 PM",3
"11/18/2022, 08:32:16 PM",1
"11/19/2022, 11:29:37 AM",3
"11/19/2022, 11:29:56 AM",2
"11/19/2022, 11:49:34 AM",3
"11/19/2022, 11:50:10 AM",1
"11/19/2022, 08:09:24 PM",3
"11/19/2022, 08:09:45 PM",2
"11/19/2022, 09:13:46 PM",3
"11/19/2022, 09:14:24 PM",1
"11/20/2022, 09:22:14 AM",3
"11/20/2022, 09:22:35 AM",2
"11/20/2022, 09:44:23 AM",3
"11/20/2022, 09:44:58 AM",1
"11/20/2022, 01:05:00 PM",3
"11/20/2022, 01:05:19 PM",2
"11/20/2022, 01:14:17 PM",3
"11/20/2022, 01:14:50 PM",1
"11/20/2022, 03:46:14 PM",3
"11/20/2022, 03:46:33 PM",2
"11/20/2022, 04:05:44 PM",3
"11/20/2022, 04:06:20 PM",1
"11/20/2022, 06:36:41 PM",3
"11/20/2022, 06:37:00 PM",2
"11/20/2022, 06:44:27 PM",3
"11/20/2022, 06:45:02 PM",1
"11/20/2022, 09:16:26 PM",3
"11/20/2022, 09:16:46 PM",2
"11/20/2022, 09:23:10 PM",3
"11/20/2022, 09:23:45 PM",1
"11/20/2022, 09:43:48 PM",3
"11/20/2022, 09:44:08 PM",2
"11/20/2022, 09:49:08 PM",3
"11/20/2022, 09:49:44 PM",1
"11/21/2022, 01:41:46 PM",3
"11/21/2022, 01:42:06 PM",2
"11/21/2022, 01:51:50 PM",3
"11/21/2022, 01:52:24 PM",1
"11/22/2022, 01:02:54 AM",3
"11/22/2022, 01:03:14 AM",2
"11/22/2022, 01:10:30 AM",3
"11/22/2022, 01:11:04 AM",1
"11/22/2022, 02:00:23 PM",3
"11/22/2022, 02:00:44 PM",2
"11/22/2022, 02:08:46 PM",3
"11/22/2022, 02:09:22 PM",1
"11/22/2022, 11:29:48 PM",3
"11/22/2022, 11:30:08 PM",2
"11/22/2022, 11:36:38 PM",3
"11/22/2022, 11:37:12 PM",1
"11/23/2022, 08:52:45 AM",3
"11/23/2022, 08:53:04 AM",2
"11/23/2022, 09:30:44 AM",3
"11/23/2022, 09:31:19 AM",1
"11/23/2022, 09:32:08 AM",3
"11/23/2022, 09:32:28 AM",2
"11/23/2022, 03:31:57 PM",3
"11/23/2022, 03:32:30 PM",1
"11/24/2022, 12:15:42 PM",3
"11/24/2022, 12:16:00 PM",2
"11/24/2022, 12:17:20 PM",3
"11/24/2022, 12:17:56 PM",1
"11/24/2022, 03:58:53 PM",3
"11/24/2022, 03:59:13 PM",2
"11/24/2022, 04:10:05 PM",3
"11/24/2022, 04:10:38 PM",1
"11/24/2022, 04:20:24 PM",3
"11/24/2022, 04:20:44 PM",2
"11/24/2022, 04:27:30 PM",3
"11/24/2022, 04:28:05 PM",1
"11/24/2022, 05:56:06 PM",3
"11/24/2022, 05:56:24 PM",2
"11/24/2022, 06:09:48 PM",3
"11/24/2022, 06:10:22 PM",1
"11/24/2022, 06:22:19 PM",3
"11/24/2022, 06:22:38 PM",2
"11/24/2022, 06:40:14 PM",3
"11/24/2022, 06:40:47 PM",1
"11/24/2022, 09:06:06 PM",3
"11/24/2022, 09:06:27 PM",2
"11/24/2022, 09:17:58 PM",3
"11/24/2022, 09:18:31 PM",1
"11/24/2022, 11:51:00 PM",3
"11/24/2022, 11:51:22 PM",2
"11/25/2022, 12:05:55 AM",3
"11/25/2022, 12:06:29 AM",1
"11/25/2022, 02:38:08 AM",3
"11/25/2022, 02:38:27 AM",2
"11/25/2022, 02:52:34 AM",3
"11/25/2022, 02:53:08 AM",1
"11/25/2022, 05:26:22 AM",3
"11/25/2022, 05:26:43 AM",2
"11/25/2022, 05:34:41 AM",3
"11/25/2022, 05:35:16 AM",1
"11/25/2022, 08:03:42 AM",3
"11/25/2022, 08:04:01 AM",2
"11/25/2022, 08:10:20 AM",3
"11/25/2022, 08:10:55 AM",1
"11/25/2022, 10:39:25 AM",3
"11/25/2022, 10:39:45 AM",2
"11/25/2022, 10:48:03 AM",3
"11/25/2022, 10:48:38 AM",1
"11/25/2022, 11:13:27 AM",3
"11/25/2022, 11:13:46 AM",2
"11/25/2022, 11:14:41 AM",3
"11/25/2022, 11:15:16 AM",1
"11/25/2022, 03:47:58 PM",3
"11/25/2022, 03:48:17 PM",2
"11/25/2022, 04:03:46 PM",3
"11/25/2022, 04:04:20 PM",1
"11/25/2022, 08:02:44 PM",3
"11/25/2022, 08:03:03 PM",2
"11/25/2022, 08:16:15 PM",3
"11/25/2022, 08:16:50 PM",1
"11/25/2022, 11:56:32 PM",3
"11/25/2022, 11:56:53 PM",2
"11/26/2022, 12:05:34 AM",3
"11/26/2022, 12:06:07 AM",1
"11/26/2022, 03:40:05 AM",3
"11/26/2022, 03:40:24 AM",2
"11/26/2022, 03:53:12 AM",3
"11/26/2022, 03:53:45 AM",1
"11/26/2022, 09:50:29 AM",3
"11/26/2022, 09:50:49 AM",2
"11/26/2022, 09:56:56 AM",3
"11/26/2022, 09:57:29 AM",1
"11/26/2022, 10:36:04 AM",3
"11/26/2022, 10:36:24 AM",2
"11/26/2022, 10:37:24 AM",3
"11/26/2022, 10:37:57 AM",1
"11/26/2022, 04:41:42 PM",3
"11/26/2022, 04:42:04 PM",2
"11/26/2022, 04:51:50 PM",3
"11/26/2022, 04:52:25 PM",1
"11/26/2022, 07:20:42 PM",3
"11/26/2022, 07:21:02 PM",2
"11/26/2022, 07:27:20 PM",3
"11/26/2022, 07:27:55 PM",1
"11/26/2022, 10:15:25 PM",3
"11/26/2022, 10:15:46 PM",2
"11/26/2022, 10:22:32 PM",3
"11/26/2022, 10:23:07 PM",1
"11/27/2022, 06:12:27 AM",3
"11/27/2022, 06:12:46 AM",2
"11/27/2022, 06:19:19 AM",3
"11/27/2022, 06:19:54 AM",1
"11/27/2022, 09:16:19 AM",3
"11/27/2022, 09:16:42 AM",2
"11/27/2022, 09:48:27 AM",3
"11/27/2022, 09:49:01 AM",1
"11/27/2022, 03:29:05 PM",3
"11/27/2022, 03:29:26 PM",2
"11/27/2022, 03:55:40 PM",3
"11/27/2022, 03:56:15 PM",1
"11/27/2022, 05:08:36 PM",3
"11/27/2022, 05:08:55 PM",2
"11/27/2022, 05:14:06 PM",3
"11/27/2022, 05:14:41 PM",1
"11/27/2022, 07:57:53 PM",3
"11/27/2022, 07:58:13 PM",2
"11/27/2022, 08:12:24 PM",3
"11/27/2022, 08:12:58 PM",1
"11/28/2022, 01:14:53 PM",3
"11/28/2022, 01:15:12 PM",2
"11/28/2022, 01:25:09 PM",3
"11/28/2022, 01:25:44 PM",1
"11/28/2022, 03:20:27 PM",3
"11/28/2022, 03:20:48 PM",2
"11/28/2022, 03:41:26 PM",3
"11/28/2022, 03:42:01 PM",1
"11/28/2022, 04:40:28 PM",3
"11/28/2022, 04:40:48 PM",2
"11/28/2022, 05:36:43 PM",3
"11/28/2022, 05:37:17 PM",1
"11/29/2022, 09:13:10 AM",3
"11/29/2022, 09:13:30 AM",2
"11/29/2022, 09:57:33 AM",3
"11/29/2022, 09:58:06 AM",1
"11/29/2022, 10:48:57 AM",3
"11/29/2022, 10:49:16 AM",2
"11/29/2022, 10:53:40 AM",3
"11/29/2022, 10:54:14 AM",1
"11/29/2022, 01:49:00 PM",3
"11/29/2022, 01:49:18 PM",2
"11/29/2022, 01:56:23 PM",3
"11/29/2022, 01:56:57 PM",1
"11/29/2022, 04:23:05 PM",4
"11/29/2022, 04:23:07 PM",3
"11/29/2022, 04:23:27 PM",2
"11/29/2022, 04:24:22 PM",3
"11/29/2022, 04:24:56 PM",1
"11/29/2022, 05:44:19 PM",3
"11/29/2022, 05:44:39 PM",2
"11/29/2022, 06:00:19 PM",3
"11/29/2022, 06:00:51 PM",1
"11/30/2022, 09:21:44 AM",3
"11/30/2022, 09:22:05 AM",2
"11/30/2022, 10:48:39 AM",3
"11/30/2022, 10:49:12 AM",1
"11/30/2022, 11:39:06 AM",3
"11/30/2022, 11:39:25 AM",2
"11/30/2022, 11:51:56 AM",3
"11/30/2022, 11:52:30 AM",1
"11/30/2022, 01:54:26 PM",3
"11/30/2022, 01:54:45 PM",2
"11/30/2022, 03:28:54 PM",3
"11/30/2022, 03:29:27 PM",1
"11/30/2022, 04:43:08 PM",3
"11/30/2022, 04:43:27 PM",2
"11/30/2022, 06:05:06 PM",3
"11/30/2022, 06:05:41 PM",1
"12/01/2022, 07:03:44 AM",3
"12/01/2022, 07:04:02 AM",2
"12/01/2022, 09:07:29 AM",3
"12/01/2022, 09:08:02 AM",1
"12/01/2022, 11:30:56 AM",3
"12/01/2022, 11:31:16 AM",2
"12/01/2022, 11:39:29 AM",3
"12/01/2022, 11:40:04 AM",1
"12/01/2022, 03:08:57 PM",3
"12/01/2022, 03:09:18 PM",2
"12/01/2022, 03:20:10 PM",3
"12/01/2022, 03:20:42 PM",1
"12/01/2022, 06:59:57 PM",3
"12/01/2022, 07:00:18 PM",2
"12/01/2022, 07:05:20 PM",3
"12/01/2022, 07:05:55 PM",1
"12/02/2022, 01:56:44 AM",3
"12/02/2022, 01:57:05 AM",2
"12/02/2022, 02:05:33 AM",3
"12/02/2022, 02:06:06 AM",1
"12/02/2022, 08:01:04 AM",3
"12/02/2022, 08:01:22 AM",2
"12/02/2022, 08:08:05 AM",3
"12/02/2022, 08:08:40 AM",1
"12/02/2022, 01:46:47 PM",3
"12/02/2022, 01:47:08 PM",2
"12/02/2022, 02:03:05 PM",3
"12/02/2022, 02:03:41 PM",1
"12/02/2022, 03:23:05 PM",3
"12/02/2022, 03:23:23 PM",2
"12/02/2022, 03:29:03 PM",3
"12/02/2022, 03:29:35 PM",1
"12/02/2022, 07:01:43 PM",3
"12/02/2022, 07:02:08 PM",2
"12/02/2022, 07:07:35 PM",3
"12/02/2022, 07:08:11 PM",1
"12/02/2022, 08:27:58 PM",3
"12/02/2022, 08:28:17 PM",2
"12/02/2022, 08:31:08 PM",3
"12/02/2022, 08:31:42 PM",1
"12/02/2022, 08:58:31 PM",3
"12/02/2022, 08:58:48 PM",2
"12/02/2022, 09:01:40 PM",3
"12/02/2022, 09:02:15 PM",1
"12/03/2022, 01:20:14 AM",3
"12/03/2022, 01:20:34 AM",2
"12/03/2022, 01:25:53 AM",3
"12/03/2022, 01:26:28 AM",1
"12/03/2022, 06:26:13 AM",3
"12/03/2022, 06:26:34 AM",2
"12/03/2022, 06:31:52 AM",3
"12/03/2022, 06:32:25 AM",1
"12/03/2022, 06:48:09 AM",3
"12/03/2022, 06:48:29 AM",2
"12/03/2022, 06:52:57 AM",3
"12/03/2022, 06:53:33 AM",1
"12/03/2022, 02:13:02 PM",3
"12/03/2022, 02:13:22 PM",2
"12/03/2022, 02:21:16 PM",3
"12/03/2022, 02:21:49 PM",1
"12/03/2022, 05:21:55 PM",3
"12/03/2022, 05:22:18 PM",2
"12/03/2022, 05:38:50 PM",3
"12/03/2022, 05:39:25 PM",1
"12/03/2022, 08:12:16 PM",3
"12/03/2022, 08:12:36 PM",2
"12/03/2022, 08:23:16 PM",3
"12/03/2022, 08:23:50 PM",1
"12/04/2022, 08:04:50 AM",4
"12/04/2022, 08:04:52 AM",3
"12/04/2022, 08:05:12 AM",2
"12/04/2022, 09:09:28 AM",3
"12/04/2022, 09:10:01 AM",1
"12/04/2022, 11:36:34 AM",3
"12/04/2022, 11:36:52 AM",2
"12/04/2022, 02:37:19 PM",3
"12/04/2022, 02:37:51 PM",1
"12/04/2022, 05:07:05 PM",3
"12/04/2022, 05:07:27 PM",2
"12/04/2022, 05:13:05 PM",3
"12/04/2022, 05:13:39 PM",1
"12/04/2022, 07:35:01 PM",3
"12/04/2022, 07:35:20 PM",2
"12/04/2022, 08:09:41 PM",3
"12/04/2022, 08:10:13 PM",1
"12/05/2022, 08:50:19 AM",3
"12/05/2022, 08:50:41 AM",2
"12/05/2022, 05:23:57 PM",3
"12/05/2022, 05:24:33 PM",1
"12/05/2022, 08:30:24 PM",3
"12/05/2022, 08:30:44 PM",2
"12/05/2022, 08:44:13 PM",3
"12/05/2022, 08:44:48 PM",1
"12/06/2022, 08:03:26 AM",3
"12/06/2022, 08:03:46 AM",2
"12/06/2022, 08:43:18 AM",3
"12/06/2022, 08:43:52 AM",1
"12/06/2022, 10:29:27 AM",3
"12/06/2022, 10:29:46 AM",2
"12/06/2022, 10:33:21 AM",3
"12/06/2022, 10:33:56 AM",1
"12/06/2022, 11:51:33 AM",3
"12/06/2022, 11:51:54 AM",2
"12/06/2022, 11:59:26 AM",3
"12/06/2022, 12:00:00 PM",1
"12/06/2022, 02:52:00 PM",3
"12/06/2022, 02:52:21 PM",2
"12/06/2022, 05:40:09 PM",3
"12/06/2022, 05:40:42 PM",1
"12/06/2022, 07:39:35 PM",3
"12/06/2022, 07:39:55 PM",2
"12/06/2022, 07:42:30 PM",3
"12/06/2022, 07:43:05 PM",1
"12/06/2022, 09:11:07 PM",3
"12/06/2022, 09:11:27 PM",2
"12/06/2022, 09:46:41 PM",3
"12/06/2022, 09:47:17 PM",1
"12/07/2022, 07:57:44 AM",3
"12/07/2022, 07:58:06 AM",2
"12/07/2022, 08:25:30 AM",3
"12/07/2022, 08:26:03 AM",1
"12/07/2022, 09:05:03 AM",3
"12/07/2022, 09:05:25 AM",2
"12/07/2022, 09:35:58 AM",3
"12/07/2022, 09:36:33 AM",1
"12/07/2022, 10:12:45 AM",3
"12/07/2022, 10:13:04 AM",2
"12/07/2022, 10:17:00 AM",3
"12/07/2022, 10:17:36 AM",1
"12/07/2022, 12:08:42 PM",3
"12/07/2022, 12:09:05 PM",2
"12/07/2022, 12:10:47 PM",3
"12/07/2022, 12:11:18 PM",1
"12/07/2022, 12:12:07 PM",3
"12/07/2022, 12:12:26 PM",2
"12/07/2022, 12:14:30 PM",3
"12/07/2022, 12:15:06 PM",1
"12/07/2022, 01:59:32 PM",3
"12/07/2022, 01:59:50 PM",2
"12/07/2022, 03:18:21 PM",3
"12/07/2022, 03:18:56 PM",1
"12/07/2022, 03:40:48 PM",3
"12/07/2022, 03:41:07 PM",2
"12/07/2022, 05:02:00 PM",3
"12/07/2022, 05:02:33 PM",1
"12/07/2022, 06:19:53 PM",3
"12/07/2022, 06:20:13 PM",2
"12/07/2022, 06:21:40 PM",3
"12/07/2022, 06:22:16 PM",1
"12/07/2022, 07:35:53 PM",3
"12/07/2022, 07:36:14 PM",2
"12/07/2022, 07:40:41 PM",3
"12/07/2022, 07:41:18 PM",1
"12/07/2022, 10:01:47 PM",3
"12/07/2022, 10:02:08 PM",2
"12/07/2022, 11:15:20 PM",3
"12/07/2022, 11:15:55 PM",1
"12/08/2022, 10:35:59 AM",3
"12/08/2022, 10:36:19 AM",2
"12/08/2022, 11:18:11 AM",3
"12/08/2022, 11:18:46 AM",1
"12/08/2022, 01:51:39 PM",3
"12/08/2022, 01:51:57 PM",2
"12/08/2022, 03:39:41 PM",3
"12/08/2022, 03:40:20 PM",1
"12/08/2022, 04:55:59 PM",3
"12/08/2022, 04:56:19 PM",2
"12/08/2022, 05:16:29 PM",3
"12/08/2022, 05:17:02 PM",1
"12/08/2022, 05:36:28 PM",3
"12/08/2022, 05:36:48 PM",2
"12/08/2022, 06:02:05 PM",3
"12/08/2022, 06:02:41 PM",1
"12/09/2022, 12:00:11 AM",3
"12/09/2022, 12:00:32 AM",2
"12/09/2022, 01:03:04 AM",3
"12/09/2022, 01:03:39 AM",1
"12/09/2022, 10:20:07 AM",3
"12/09/2022, 10:20:10 AM",2
"12/09/2022, 10:21:28 AM",3
"12/09/2022, 10:22:03 AM",1
"12/09/2022, 10:59:09 AM",3
"12/09/2022, 10:59:25 AM",2
"12/09/2022, 12:46:16 PM",3
"12/09/2022, 12:46:53 PM",1
"12/09/2022, 05:49:32 PM",3
"12/09/2022, 05:49:55 PM",2
"12/09/2022, 07:07:12 PM",3
"12/09/2022, 07:07:46 PM",1
"12/09/2022, 10:23:11 PM",3
"12/09/2022, 10:23:33 PM",2
"12/09/2022, 10:27:16 PM",3
"12/09/2022, 10:27:50 PM",1
"12/10/2022, 07:25:08 AM",3
"12/10/2022, 07:25:28 AM",2
"12/10/2022, 09:45:50 AM",3
"12/10/2022, 09:46:23 AM",1
"12/10/2022, 11:23:47 AM",3
"12/10/2022, 11:24:06 AM",2
"12/10/2022, 12:27:43 PM",3
"12/10/2022, 12:28:18 PM",1
"12/10/2022, 04:19:43 PM",3
"12/10/2022, 04:20:03 PM",2
"12/10/2022, 05:37:17 PM",3
"12/10/2022, 05:37:49 PM",1
"12/10/2022, 08:38:14 PM",3
"12/10/2022, 08:38:34 PM",2
"12/10/2022, 10:26:40 PM",3
"12/10/2022, 10:27:15 PM",1
"12/11/2022, 08:21:36 AM",3
"12/11/2022, 08:21:56 AM",2
"12/11/2022, 09:03:37 AM",3
"12/11/2022, 09:04:11 AM",1
"12/11/2022, 03:28:42 PM",3
"12/11/2022, 03:29:02 PM",2
"12/11/2022, 03:59:13 PM",3
"12/11/2022, 03:59:43 PM",1
"12/12/2022, 08:49:43 AM",3
"12/12/2022, 08:50:03 AM",2
"12/12/2022, 03:59:12 PM",3
"12/12/2022, 03:59:47 PM",1
"12/12/2022, 09:20:03 PM",3
"12/12/2022, 09:20:23 PM",2
"12/12/2022, 09:33:02 PM",3
"12/12/2022, 09:33:37 PM",1
"12/13/2022, 08:16:27 PM",3
"12/13/2022, 08:16:49 PM",2
"12/13/2022, 08:27:34 PM",3
"12/13/2022, 08:28:09 PM",1
"12/13/2022, 10:34:02 PM",3
"12/13/2022, 10:34:24 PM",2
"12/13/2022, 10:47:09 PM",3
"12/13/2022, 10:47:43 PM",1
"12/14/2022, 07:17:07 PM",3
"12/14/2022, 07:17:27 PM",2
"12/14/2022, 09:04:23 PM",3
"12/14/2022, 09:04:58 PM",1
"12/15/2022, 08:21:49 AM",1
"12/15/2022, 10:52:25 AM",3
"12/15/2022, 10:52:45 AM",2
"12/15/2022, 11:02:35 AM",3
"12/15/2022, 11:03:10 AM",1
"12/15/2022, 04:47:07 PM",3
"12/15/2022, 04:47:27 PM",2
"12/15/2022, 05:06:51 PM",3
"12/15/2022, 05:07:23 PM",1
"12/16/2022, 10:27:44 AM",3
"12/16/2022, 10:28:06 AM",2

