"Time","t2shut::sans2d:status"
"11/08/2022, 06:42:19 PM",3
"11/08/2022, 06:43:02 PM",2
"11/08/2022, 07:00:49 PM",3
"11/08/2022, 07:01:26 PM",1
"11/08/2022, 07:01:36 PM",3
"11/08/2022, 07:02:15 PM",2
"11/08/2022, 07:02:50 PM",3
"11/08/2022, 07:03:27 PM",1
"11/09/2022, 09:00:44 AM",3
"11/09/2022, 09:01:26 AM",2
"11/09/2022, 09:43:06 AM",3
"11/09/2022, 09:43:43 AM",1
"11/09/2022, 11:37:31 AM",4
"11/09/2022, 11:37:33 AM",3
"11/09/2022, 11:38:13 AM",2
"11/09/2022, 11:52:04 AM",3
"11/09/2022, 11:52:40 AM",1
"11/09/2022, 10:22:00 PM",3
"11/09/2022, 10:22:37 PM",2
"11/09/2022, 10:32:28 PM",3
"11/09/2022, 10:33:04 PM",1
"11/10/2022, 09:21:11 AM",3
"11/10/2022, 09:21:52 AM",2
"11/10/2022, 09:39:08 AM",3
"11/10/2022, 09:39:42 AM",1
"11/10/2022, 03:46:39 PM",3
"11/10/2022, 03:47:14 PM",2
"11/10/2022, 04:40:32 PM",3
"11/10/2022, 04:41:10 PM",1
"11/10/2022, 04:43:29 PM",3
"11/10/2022, 04:44:09 PM",2
"11/10/2022, 04:46:22 PM",3
"11/10/2022, 04:46:57 PM",1
"11/11/2022, 11:00:11 AM",4
"11/11/2022, 11:00:13 AM",3
"11/11/2022, 11:00:56 AM",2
"11/11/2022, 11:08:26 AM",3
"11/11/2022, 11:09:03 AM",1
"11/11/2022, 10:09:45 PM",3
"11/11/2022, 10:10:29 PM",2
"11/11/2022, 10:16:22 PM",3
"11/11/2022, 10:16:58 PM",1
"11/12/2022, 08:32:43 AM",3
"11/12/2022, 08:33:26 AM",2
"11/12/2022, 09:28:50 AM",3
"11/12/2022, 09:29:26 AM",1
"11/12/2022, 11:34:18 AM",3
"11/12/2022, 11:35:03 AM",2
"11/12/2022, 01:07:01 PM",3
"11/12/2022, 01:07:38 PM",1
"11/12/2022, 02:54:29 PM",3
"11/12/2022, 02:55:09 PM",2
"11/12/2022, 03:32:12 PM",3
"11/12/2022, 03:32:49 PM",1
"11/13/2022, 07:38:08 PM",3
"11/13/2022, 07:38:51 PM",2
"11/13/2022, 07:46:53 PM",3
"11/13/2022, 07:47:29 PM",1
"11/14/2022, 09:33:29 AM",3
"11/14/2022, 09:34:10 AM",2
"11/14/2022, 10:07:30 AM",3
"11/14/2022, 10:08:07 AM",1
"11/14/2022, 11:31:41 AM",3
"11/14/2022, 11:32:25 AM",2
"11/14/2022, 11:43:15 AM",3
"11/14/2022, 11:43:48 AM",1
"11/14/2022, 11:16:51 PM",3
"11/14/2022, 11:17:35 PM",2
"11/14/2022, 11:28:06 PM",3
"11/14/2022, 11:28:44 PM",1
"11/15/2022, 12:26:44 AM",3
"11/15/2022, 12:27:24 AM",2
"11/15/2022, 12:35:15 AM",3
"11/15/2022, 12:35:50 AM",1
"11/15/2022, 10:44:50 AM",3
"11/15/2022, 10:45:32 AM",2
"11/15/2022, 11:09:11 AM",3
"11/15/2022, 11:09:48 AM",1
"11/15/2022, 12:00:45 PM",3
"11/15/2022, 12:01:26 PM",2
"11/15/2022, 12:04:52 PM",3
"11/15/2022, 12:05:28 PM",1
"11/15/2022, 02:31:03 PM",3
"11/15/2022, 02:31:46 PM",2
"11/15/2022, 02:41:06 PM",3
"11/15/2022, 02:41:40 PM",1
"11/15/2022, 05:51:40 PM",3
"11/15/2022, 05:52:22 PM",2
"11/15/2022, 05:57:43 PM",3
"11/15/2022, 05:58:18 PM",1
"11/15/2022, 06:59:49 PM",3
"11/15/2022, 07:00:33 PM",2
"11/15/2022, 07:04:21 PM",3
"11/15/2022, 07:04:57 PM",1
"11/15/2022, 08:55:57 PM",3
"11/15/2022, 08:56:39 PM",2
"11/15/2022, 09:00:32 PM",3
"11/15/2022, 09:01:08 PM",1
"11/15/2022, 11:07:38 PM",3
"11/15/2022, 11:08:21 PM",2
"11/15/2022, 11:14:53 PM",3
"11/15/2022, 11:15:31 PM",1
"11/16/2022, 09:40:42 AM",3
"11/16/2022, 09:41:24 AM",2
"11/16/2022, 10:28:58 AM",3
"11/16/2022, 10:29:33 AM",1
"11/16/2022, 12:41:27 PM",3
"11/16/2022, 12:42:02 PM",2
"11/16/2022, 12:46:09 PM",3
"11/16/2022, 12:46:44 PM",1
"11/16/2022, 12:57:04 PM",3
"11/16/2022, 12:57:47 PM",2
"11/16/2022, 01:46:51 PM",3
"11/16/2022, 01:47:25 PM",1
"11/16/2022, 03:23:59 PM",3
"11/16/2022, 03:24:42 PM",2
"11/16/2022, 03:34:23 PM",3
"11/16/2022, 03:34:59 PM",1
"11/17/2022, 09:05:39 AM",3
"11/17/2022, 09:06:18 AM",2
"11/17/2022, 09:33:46 AM",3
"11/17/2022, 09:34:21 AM",1
"11/17/2022, 09:49:32 AM",3
"11/17/2022, 09:50:20 AM",2
"11/17/2022, 09:53:47 AM",3
"11/17/2022, 09:54:23 AM",1
"11/17/2022, 10:52:43 AM",3
"11/17/2022, 10:53:26 AM",2
"11/17/2022, 10:59:51 AM",3
"11/17/2022, 11:00:26 AM",1
"11/17/2022, 06:24:53 PM",3
"11/17/2022, 06:25:35 PM",2
"11/17/2022, 07:24:45 PM",3
"11/17/2022, 07:25:20 PM",1
"11/18/2022, 02:21:43 PM",3
"11/18/2022, 02:22:25 PM",2
"11/18/2022, 02:47:39 PM",3
"11/18/2022, 02:48:15 PM",1
"11/18/2022, 04:51:12 PM",3
"11/18/2022, 04:51:56 PM",2
"11/18/2022, 04:54:33 PM",4
"11/18/2022, 04:54:35 PM",3
"11/18/2022, 04:55:12 PM",1
"11/19/2022, 12:58:21 PM",4
"11/19/2022, 12:58:23 PM",3
"11/19/2022, 12:58:59 PM",2
"11/19/2022, 01:26:42 PM",3
"11/19/2022, 01:27:18 PM",1
"11/20/2022, 09:56:14 AM",3
"11/20/2022, 09:56:50 AM",2
"11/20/2022, 10:32:34 AM",3
"11/20/2022, 10:33:10 AM",1
"11/20/2022, 12:10:48 PM",4
"11/20/2022, 12:10:50 PM",3
"11/20/2022, 12:11:25 PM",2
"11/20/2022, 12:20:34 PM",3
"11/20/2022, 12:21:05 PM",1
"11/21/2022, 08:46:23 AM",3
"11/21/2022, 08:47:07 AM",2
"11/21/2022, 09:17:28 AM",3
"11/21/2022, 09:18:01 AM",1
"11/21/2022, 10:21:50 AM",3
"11/21/2022, 10:22:35 AM",2
"11/21/2022, 10:31:58 AM",3
"11/21/2022, 10:32:34 AM",1
"11/21/2022, 07:31:49 PM",3
"11/21/2022, 07:32:30 PM",2
"11/21/2022, 07:40:10 PM",3
"11/21/2022, 07:40:47 PM",1
"11/22/2022, 09:21:57 AM",3
"11/22/2022, 09:22:40 AM",2
"11/22/2022, 09:26:05 AM",3
"11/22/2022, 09:26:41 AM",1
"11/22/2022, 05:25:20 PM",3
"11/22/2022, 05:26:01 PM",2
"11/22/2022, 05:33:38 PM",3
"11/22/2022, 05:34:09 PM",1
"11/23/2022, 08:19:34 AM",3
"11/23/2022, 08:20:15 AM",2
"11/23/2022, 06:03:20 PM",3
"11/23/2022, 06:03:56 PM",1
"11/23/2022, 06:05:24 PM",3
"11/23/2022, 06:06:03 PM",2
"11/23/2022, 06:07:47 PM",3
"11/23/2022, 06:08:24 PM",1
"11/24/2022, 09:01:34 AM",3
"11/24/2022, 09:02:15 AM",2
"11/24/2022, 01:52:19 PM",3
"11/24/2022, 01:52:55 PM",1
"11/24/2022, 01:55:04 PM",3
"11/24/2022, 01:55:46 PM",2
"11/24/2022, 01:59:17 PM",3
"11/24/2022, 01:59:50 PM",1
"11/24/2022, 02:03:20 PM",3
"11/24/2022, 02:04:01 PM",2
"11/24/2022, 02:18:43 PM",3
"11/24/2022, 02:19:21 PM",1
"11/24/2022, 02:44:09 PM",3
"11/24/2022, 02:44:50 PM",2
"11/24/2022, 02:48:34 PM",3
"11/24/2022, 02:49:09 PM",1
"11/24/2022, 04:02:34 PM",3
"11/24/2022, 04:03:09 PM",2
"11/24/2022, 05:09:33 PM",3
"11/24/2022, 05:10:10 PM",1
"11/24/2022, 06:10:27 PM",3
"11/24/2022, 06:11:10 PM",2
"11/24/2022, 06:13:10 PM",3
"11/24/2022, 06:13:46 PM",1
"11/25/2022, 09:05:08 AM",3
"11/25/2022, 09:05:51 AM",2
"11/25/2022, 12:09:54 PM",3
"11/25/2022, 12:10:29 PM",1
"11/25/2022, 01:23:02 PM",3
"11/25/2022, 01:23:50 PM",2
"11/25/2022, 03:16:07 PM",3
"11/25/2022, 03:16:40 PM",1
"11/25/2022, 04:29:09 PM",3
"11/25/2022, 04:29:53 PM",2
"11/25/2022, 05:20:51 PM",3
"11/25/2022, 05:21:27 PM",1
"11/25/2022, 05:30:55 PM",3
"11/25/2022, 05:31:27 PM",2
"11/25/2022, 06:01:43 PM",3
"11/25/2022, 06:02:20 PM",1
"11/25/2022, 06:10:58 PM",3
"11/25/2022, 06:11:39 PM",2
"11/25/2022, 06:12:48 PM",3
"11/25/2022, 06:13:24 PM",1
"11/25/2022, 07:32:12 PM",3
"11/25/2022, 07:32:55 PM",2
"11/25/2022, 10:49:16 PM",3
"11/25/2022, 10:49:52 PM",1
"11/26/2022, 12:07:41 AM",3
"11/26/2022, 12:08:25 AM",2
"11/26/2022, 02:42:53 AM",3
"11/26/2022, 02:43:28 AM",1
"11/26/2022, 08:28:41 AM",3
"11/26/2022, 08:29:25 AM",2
"11/26/2022, 12:06:38 PM",3
"11/26/2022, 12:07:11 PM",1
"11/26/2022, 12:20:42 PM",3
"11/26/2022, 12:21:15 PM",2
"11/26/2022, 02:02:58 PM",3
"11/26/2022, 02:03:32 PM",1
"11/26/2022, 02:31:17 PM",3
"11/26/2022, 02:31:55 PM",2
"11/26/2022, 02:47:45 PM",3
"11/26/2022, 02:48:16 PM",1
"11/26/2022, 03:19:33 PM",3
"11/26/2022, 03:20:14 PM",2
"11/26/2022, 03:34:20 PM",3
"11/26/2022, 03:34:56 PM",1
"11/26/2022, 04:55:42 PM",3
"11/26/2022, 04:56:25 PM",2
"11/27/2022, 10:04:28 AM",3
"11/27/2022, 10:05:04 AM",1
"11/28/2022, 09:27:11 AM",3
"11/28/2022, 09:27:54 AM",2
"11/28/2022, 09:36:58 AM",3
"11/28/2022, 09:37:32 AM",1
"11/28/2022, 02:09:04 PM",3
"11/28/2022, 02:09:38 PM",2
"11/28/2022, 02:11:26 PM",3
"11/28/2022, 02:12:03 PM",1
"11/28/2022, 05:28:11 PM",3
"11/28/2022, 05:28:52 PM",2
"11/28/2022, 05:31:01 PM",3
"11/28/2022, 05:31:35 PM",1
"11/28/2022, 10:06:52 PM",3
"11/28/2022, 10:07:33 PM",2
"11/28/2022, 10:21:07 PM",3
"11/28/2022, 10:21:42 PM",1
"11/29/2022, 08:24:13 AM",3
"11/29/2022, 08:24:55 AM",2
"11/29/2022, 08:40:05 AM",3
"11/29/2022, 08:40:40 AM",1
"11/29/2022, 09:29:38 AM",3
"11/29/2022, 09:30:19 AM",2
"11/29/2022, 09:37:53 AM",3
"11/29/2022, 09:38:26 AM",1
"11/29/2022, 10:28:47 AM",3
"11/29/2022, 10:29:29 AM",2
"11/29/2022, 10:35:49 AM",3
"11/29/2022, 10:36:21 AM",1
"11/29/2022, 11:05:17 AM",3
"11/29/2022, 11:05:58 AM",2
"11/29/2022, 11:07:45 AM",3
"11/29/2022, 11:08:23 AM",1
"11/29/2022, 01:36:33 PM",3
"11/29/2022, 01:37:15 PM",2
"11/29/2022, 01:42:36 PM",3
"11/29/2022, 01:43:12 PM",1
"11/29/2022, 04:01:26 PM",3
"11/29/2022, 04:02:10 PM",2
"11/29/2022, 04:05:54 PM",3
"11/29/2022, 04:06:28 PM",1
"11/29/2022, 06:55:21 PM",3
"11/29/2022, 06:56:03 PM",2
"11/29/2022, 06:59:03 PM",3
"11/29/2022, 06:59:36 PM",1
"11/29/2022, 10:23:54 PM",3
"11/29/2022, 10:24:36 PM",2
"11/29/2022, 11:02:50 PM",3
"11/29/2022, 11:03:26 PM",1
"11/30/2022, 09:34:18 AM",3
"11/30/2022, 09:35:01 AM",2
"11/30/2022, 10:32:35 AM",3
"11/30/2022, 10:33:12 AM",1
"11/30/2022, 10:56:21 AM",3
"11/30/2022, 10:57:03 AM",2
"11/30/2022, 11:00:13 AM",3
"11/30/2022, 11:00:49 AM",1
"11/30/2022, 02:47:35 PM",3
"11/30/2022, 02:48:10 PM",2
"11/30/2022, 05:47:43 PM",3
"11/30/2022, 05:48:20 PM",1
"11/30/2022, 06:17:48 PM",3
"11/30/2022, 06:18:30 PM",2
"11/30/2022, 06:19:50 PM",3
"11/30/2022, 06:20:27 PM",1
"11/30/2022, 07:27:11 PM",3
"11/30/2022, 07:27:55 PM",2
"11/30/2022, 07:30:03 PM",3
"11/30/2022, 07:30:39 PM",1
"12/01/2022, 08:06:13 AM",3
"12/01/2022, 08:06:57 AM",2
"12/01/2022, 08:40:41 AM",3
"12/01/2022, 08:41:16 AM",1
"12/01/2022, 09:39:08 AM",3
"12/01/2022, 09:39:50 AM",2
"12/01/2022, 12:12:53 PM",3
"12/01/2022, 12:13:30 PM",1
"12/01/2022, 03:58:29 PM",3
"12/01/2022, 03:59:07 PM",2
"12/01/2022, 04:38:08 PM",3
"12/01/2022, 04:38:43 PM",1
"12/01/2022, 05:29:54 PM",3
"12/01/2022, 05:30:36 PM",2
"12/01/2022, 05:49:40 PM",3
"12/01/2022, 05:50:18 PM",1
"12/01/2022, 08:46:00 PM",3
"12/01/2022, 08:46:43 PM",2
"12/01/2022, 09:27:16 PM",3
"12/01/2022, 09:27:47 PM",1
"12/01/2022, 09:48:04 PM",3
"12/01/2022, 09:48:45 PM",2
"12/01/2022, 09:52:18 PM",3
"12/01/2022, 09:52:55 PM",1
"12/01/2022, 10:23:19 PM",3
